batch_size: 1024
emb_size: 64
epoch: 40
hidden_size: 256
lr: 0.1
{'<pad>': 0, 'i-org': 1, 'o': 2, 'i-misc': 3, 'i-per': 4, 'i-loc': 5, 'b-loc': 6, 'b-misc': 7, 'b-org': 8}
['i-org', 'o', 'i-misc', 'i-per', 'i-loc', 'b-loc', 'b-misc', 'b-org']
1	precision: 0.4518118735604579	recall: 0.4827074721733858	f1-score: 0.45116936448971656
o	0.9788	0.9811	0.9797
i-misc	0.1749	0.1741	0.1740
i-per	0.2881	0.2873	0.2875
i-loc	0.3356	0.3346	0.3346
b-loc	0.0004	0.0004	0.0004
b-misc	0.0008	0.0008	0.0008
b-org	0.0004	0.0004	0.0004
8	precision: 0.9894597907363789	recall: 0.988723737245071	f1-score: 0.9885422412346475
8	precision	recall	f1-score
i-org	0.2973	0.2959	0.2959
o	0.9797	0.9813	0.9803
i-misc	0.1767	0.1762	0.1761
i-per	0.2893	0.2887	0.2889
i-loc	0.3382	0.3372	0.3374
b-loc	0.0004	0.0004	0.0004
b-misc	0.0009	0.0009	0.0009
b-org	0.0004	0.0004	0.0004
9	precision: 0.9930778837789223	recall: 0.9924904380368158	f1-score: 0.9924248732251364
9	precision	recall	f1-score
i-org	0.3006	0.2993	0.2996
o	0.9805	0.9814	0.9808
i-misc	0.1783	0.1779	0.1779
i-per	0.2900	0.2896	0.2897
i-loc	0.3395	0.3391	0.3391
b-loc	0.0005	0.0005	0.0005
b-misc	0.0013	0.0012	0.0012
b-org	0.0004	0.0004	0.0004
10	precision: 0.9951775716051726	recall: 0.9947118296547317	f1-score: 0.9947082770190728
10	precision	recall	f1-score
i-org	0.3024	0.3016	0.3017
o	0.9809	0.9816	0.9812
i-misc	0.1787	0.1785	0.1785
i-per	0.2905	0.2902	0.2903
i-loc	0.3404	0.3399	0.3400
b-loc	0.0004	0.0004	0.0004
b-misc	0.0015	0.0014	0.0014
b-org	0.0004	0.0004	0.0004
11	precision: 0.9965726977835595	recall: 0.9962678700469932	f1-score: 0.9962305777787834
11	precision	recall	f1-score
i-org	0.3037	0.3033	0.3033
o	0.9812	0.9815	0.9813
i-misc	0.1791	0.1791	0.1790
i-per	0.2909	0.2906	0.2907
i-loc	0.3408	0.3404	0.3405
b-loc	0.0005	0.0005	0.0005
b-misc	0.0015	0.0015	0.0015
b-org	0.0004	0.0004	0.0004
12	precision: 0.9970869680452019	recall: 0.99683495211045	f1-score: 0.9968253567785996
12	precision	recall	f1-score
i-org	0.3040	0.3036	0.3037
o	0.9813	0.9817	0.9814
i-misc	0.1796	0.1795	0.1795
i-per	0.2909	0.2907	0.2908
i-loc	0.3410	0.3406	0.3407
b-loc	0.0005	0.0005	0.0005
b-misc	0.0018	0.0018	0.0018
b-org	0.0004	0.0004	0.0004
13	precision: 0.9976970949777998	recall: 0.9975366289082114	f1-score: 0.9975142883071695
13	precision	recall	f1-score
i-org	0.3046	0.3043	0.3044
o	0.9814	0.9817	0.9815
i-misc	0.1796	0.1796	0.1795
i-per	0.2912	0.2910	0.2911
i-loc	0.3412	0.3409	0.3410
b-loc	0.0005	0.0005	0.0005
b-misc	0.0018	0.0018	0.0018
b-org	0.0004	0.0004	0.0004
14	precision: 0.997802466230303	recall: 0.9975762633279649	f1-score: 0.9976097846686233
14	precision	recall	f1-score
i-org	0.3049	0.3045	0.3046
o	0.9815	0.9817	0.9816
i-misc	0.1797	0.1795	0.1795
i-per	0.2912	0.2912	0.2912
i-loc	0.3412	0.3410	0.3410
b-loc	0.0006	0.0006	0.0006
b-misc	0.0018	0.0018	0.0018
b-org	0.0004	0.0004	0.0004
15	precision: 0.9984836896402145	recall: 0.9983453388466397	f1-score: 0.9983637820722913
15	precision	recall	f1-score
i-org	0.3053	0.3050	0.3050
o	0.9816	0.9818	0.9817
i-misc	0.1797	0.1797	0.1797
i-per	0.2913	0.2912	0.2912
i-loc	0.3415	0.3414	0.3415
b-loc	0.0007	0.0007	0.0007
b-misc	0.0019	0.0019	0.0019
b-org	0.0004	0.0004	0.0004
16	precision: 0.9986563830107258	recall: 0.9985785644603871	f1-score: 0.9985725183059065
16	precision	recall	f1-score
i-org	0.3051	0.3050	0.3050
o	0.9817	0.9818	0.9817
i-misc	0.1798	0.1798	0.1798
i-per	0.2914	0.2913	0.2913
i-loc	0.3417	0.3416	0.3416
b-loc	0.0007	0.0007	0.0007
b-misc	0.0019	0.0019	0.0019
b-org	0.0004	0.0004	0.0004
17	precision: 0.9987427732070034	recall: 0.9986545745565827	f1-score: 0.9986581715793823
17	precision	recall	f1-score
i-org	0.3053	0.3051	0.3052
o	0.9817	0.9818	0.9817
i-misc	0.1798	0.1798	0.1798
i-per	0.2914	0.2914	0.2914
i-loc	0.3416	0.3415	0.3416
b-loc	0.0007	0.0007	0.0007
b-misc	0.0020	0.0020	0.0020
b-org	0.0004	0.0004	0.0004
18	precision: 0.9987041074626152	recall: 0.9986357368689208	f1-score: 0.9986355340819751
18	precision	recall	f1-score
i-org	0.3054	0.3051	0.3052
o	0.9817	0.9818	0.9817
i-misc	0.1798	0.1799	0.1799
i-per	0.2915	0.2914	0.2915
i-loc	0.3416	0.3415	0.3415
b-loc	0.0007	0.0007	0.0007
b-misc	0.0019	0.0019	0.0019
b-org	0.0004	0.0004	0.0004
19	precision: 0.9988647732904036	recall: 0.9987162882406777	f1-score: 0.9987538812186125
19	precision	recall	f1-score
i-org	0.3056	0.3053	0.3054
o	0.9817	0.9818	0.9817
i-misc	0.1800	0.1800	0.1800
i-per	0.2915	0.2914	0.2915
i-loc	0.3416	0.3415	0.3415
b-loc	0.0007	0.0007	0.0007
b-misc	0.0021	0.0021	0.0021
b-org	0.0004	0.0004	0.0004
20	precision: 0.9989840986366076	recall: 0.9989190616709631	f1-score: 0.9989189424806815
20	precision	recall	f1-score
i-org	0.3054	0.3052	0.3053
o	0.9817	0.9818	0.9817
i-misc	0.1799	0.1800	0.1800
i-per	0.2915	0.2914	0.2915
i-loc	0.3418	0.3417	0.3417
b-loc	0.0007	0.0007	0.0007
b-misc	0.0020	0.0020	0.0020
b-org	0.0004	0.0004	0.0004
21	precision: 0.9991603168988727	recall: 0.9991304759221481	f1-score: 0.9991220283415438
21	precision	recall	f1-score
i-org	0.3057	0.3056	0.3056
o	0.9817	0.9818	0.9818
i-misc	0.1799	0.1800	0.1800
i-per	0.2915	0.2914	0.2915
i-loc	0.3416	0.3416	0.3416
b-loc	0.0007	0.0007	0.0007
b-misc	0.0020	0.0020	0.0020
b-org	0.0004	0.0004	0.0004
22	precision: 0.9991270299387877	recall: 0.9990582259491574	f1-score: 0.9990695497057447
22	precision	recall	f1-score
i-org	0.3057	0.3056	0.3056
o	0.9817	0.9818	0.9818
i-misc	0.1800	0.1800	0.1800
i-per	0.2915	0.2915	0.2915
i-loc	0.3416	0.3416	0.3416
b-loc	0.0007	0.0007	0.0007
b-misc	0.0021	0.0021	0.0021
b-org	0.0004	0.0004	0.0004
23	precision: 0.999115237627516	recall: 0.9990863739137126	f1-score: 0.9990819338686447
23	precision	recall	f1-score
i-org	0.3057	0.3055	0.3056
o	0.9818	0.9818	0.9818
i-misc	0.1799	0.1800	0.1800
i-per	0.2915	0.2915	0.2915
i-loc	0.3416	0.3416	0.3416
b-loc	0.0007	0.0007	0.0007
b-misc	0.0020	0.0020	0.0020
b-org	0.0004	0.0004	0.0004
24	precision: 0.9992945985535734	recall: 0.9992792655861523	f1-score: 0.9992667859052652
24	precision	recall	f1-score
i-org	0.3056	0.3056	0.3056
o	0.9818	0.9818	0.9818
i-misc	0.1800	0.1800	0.1800
i-per	0.2916	0.2916	0.2916
i-loc	0.3418	0.3417	0.3417
b-loc	0.0007	0.0007	0.0007
b-misc	0.0020	0.0020	0.0020
b-org	0.0004	0.0004	0.0004
25	precision: 0.999326718479261	recall: 0.9992923068585354	f1-score: 0.999295336465189
25	precision	recall	f1-score
i-org	0.3059	0.3058	0.3058
o	0.9818	0.9818	0.9818
i-misc	0.1800	0.1800	0.1800
i-per	0.2915	0.2915	0.2915
i-loc	0.3416	0.3416	0.3416
b-loc	0.0007	0.0007	0.0007
b-misc	0.0021	0.0021	0.0021
b-org	0.0004	0.0004	0.0004
26	precision: 0.9993668838328853	recall: 0.9993265010305915	f1-score: 0.9993283280329827
26	precision	recall	f1-score
i-org	0.3057	0.3057	0.3057
o	0.9818	0.9818	0.9818
i-misc	0.1800	0.1800	0.1800
i-per	0.2915	0.2915	0.2915
i-loc	0.3419	0.3418	0.3418
b-loc	0.0007	0.0007	0.0007
b-misc	0.0021	0.0020	0.0020
b-org	0.0004	0.0004	0.0004
27	precision: 0.9994265338625076	recall: 0.9994163114850756	f1-score: 0.9994072208175137
27	precision	recall	f1-score
i-org	0.3059	0.3059	0.3059
o	0.9818	0.9818	0.9818
i-misc	0.1800	0.1800	0.1800
i-per	0.2916	0.2916	0.2916
i-loc	0.3416	0.3416	0.3416
b-loc	0.0007	0.0007	0.0007
b-misc	0.0021	0.0020	0.0020
b-org	0.0004	0.0004	0.0004
28	precision: 0.9992505759843607	recall: 0.9992309532989166	f1-score: 0.9992249113198428
28	precision	recall	f1-score
i-org	0.3057	0.3056	0.3056
o	0.9818	0.9818	0.9818
i-misc	0.1800	0.1800	0.1800
i-per	0.2915	0.2915	0.2915
i-loc	0.3418	0.3418	0.3418
b-loc	0.0007	0.0007	0.0007
b-misc	0.0021	0.0020	0.0020
b-org	0.0004	0.0004	0.0004
29	precision: 0.9993323189444572	recall: 0.9993126300596604	f1-score: 0.999303009226684
29	precision	recall	f1-score
i-org	0.3058	0.3057	0.3057
o	0.9818	0.9818	0.9818
i-misc	0.1800	0.1800	0.1800
i-per	0.2916	0.2916	0.2916
i-loc	0.3416	0.3416	0.3416
b-loc	0.0007	0.0007	0.0007
b-misc	0.0021	0.0021	0.0021
b-org	0.0004	0.0004	0.0004
30	precision: 0.9994403827669875	recall: 0.9994289423214755	f1-score: 0.9994207159304348
30	precision	recall	f1-score
i-org	0.3057	0.3057	0.3057
o	0.9818	0.9818	0.9818
i-misc	0.1800	0.1800	0.1800
i-per	0.2916	0.2916	0.2916
i-loc	0.3419	0.3419	0.3419
b-loc	0.0007	0.0007	0.0007
b-misc	0.0021	0.0021	0.0021
b-org	0.0004	0.0004	0.0004
31	precision: 0.9994833675340481	recall: 0.9995057468098972	f1-score: 0.9994820272704916
31	precision	recall	f1-score
i-org	0.3059	0.3059	0.3059
o	0.9818	0.9818	0.9818
i-misc	0.1800	0.1800	0.1800
i-per	0.2916	0.2916	0.2916
i-loc	0.3416	0.3417	0.3416
b-loc	0.0007	0.0007	0.0007
b-misc	0.0021	0.0020	0.0020
b-org	0.0004	0.0004	0.0004
32	precision: 0.9994969244824108	recall: 0.9995179142508318	f1-score: 0.9994975165878394
32	precision	recall	f1-score
i-org	0.3059	0.3058	0.3058
o	0.9818	0.9818	0.9818
i-misc	0.1800	0.1800	0.1800
i-per	0.2916	0.2916	0.2916
i-loc	0.3418	0.3419	0.3418
b-loc	0.0007	0.0007	0.0007
b-misc	0.0021	0.0021	0.0021
b-org	0.0004	0.0004	0.0004
33	precision: 0.9994727043460863	recall: 0.9994427250266033	f1-score: 0.9994423327119912
33	precision	recall	f1-score
i-org	0.3059	0.3059	0.3059
o	0.9818	0.9818	0.9818
i-misc	0.1800	0.1800	0.1800
i-per	0.2916	0.2916	0.2916
i-loc	0.3417	0.3417	0.3417
b-loc	0.0007	0.0007	0.0007
b-misc	0.0021	0.0021	0.0021
b-org	0.0004	0.0004	0.0004
34	precision: 0.9994888569880227	recall: 0.9994663581953385	f1-score: 0.9994633979939668
34	precision	recall	f1-score
i-org	0.3060	0.3059	0.3059
o	0.9818	0.9818	0.9818
i-misc	0.1800	0.1800	0.1800
i-per	0.2916	0.2916	0.2916
i-loc	0.3417	0.3417	0.3417
b-loc	0.0007	0.0007	0.0007
b-misc	0.0021	0.0020	0.0020
b-org	0.0004	0.0004	0.0004
35	precision: 0.9994198905029011	recall: 0.9994627701904494	f1-score: 0.9994280163197221
35	precision	recall	f1-score
i-org	0.3058	0.3059	0.3058
o	0.9818	0.9818	0.9818
i-misc	0.1800	0.1800	0.1800
i-per	0.2917	0.2917	0.2917
i-loc	0.3417	0.3417	0.3417
b-loc	0.0007	0.0007	0.0007
b-misc	0.0020	0.0020	0.0020
b-org	0.0004	0.0004	0.0004
36	precision: 0.9993911432599997	recall: 0.999323844229923	f1-score: 0.9993316902644817
36	precision	recall	f1-score
i-org	0.3059	0.3058	0.3059
o	0.9818	0.9818	0.9818
i-misc	0.1800	0.1799	0.1799
i-per	0.2917	0.2917	0.2917
i-loc	0.3417	0.3418	0.3417
b-loc	0.0007	0.0007	0.0007
b-misc	0.0021	0.0020	0.0020
b-org	0.0004	0.0004	0.0004
37	precision: 0.9995534013564173	recall: 0.9995404352704499	f1-score: 0.9995291321915574
37	precision	recall	f1-score
i-org	0.3060	0.3060	0.3060
o	0.9818	0.9818	0.9818
i-misc	0.1800	0.1800	0.1800
i-per	0.2917	0.2917	0.2917
i-loc	0.3418	0.3417	0.3417
b-loc	0.0007	0.0007	0.0007
b-misc	0.0021	0.0020	0.0020
b-org	0.0004	0.0004	0.0004
38	precision: 0.9994070478285745	recall: 0.9994051668241328	f1-score: 0.9993902501769443
38	precision	recall	f1-score
i-org	0.3059	0.3059	0.3059
o	0.9818	0.9818	0.9817
i-misc	0.1800	0.1800	0.1800
i-per	0.2917	0.2917	0.2917
i-loc	0.3416	0.3417	0.3416
b-loc	0.0007	0.0007	0.0007
b-misc	0.0021	0.0020	0.0020
b-org	0.0004	0.0004	0.0004
39	precision: 0.9994907238097548	recall: 0.9994874890285605	f1-score: 0.9994731298684193
39	precision	recall	f1-score
i-org	0.3059	0.3059	0.3059
o	0.9818	0.9818	0.9818
i-misc	0.1800	0.1800	0.1800
i-per	0.2917	0.2917	0.2917
i-loc	0.3417	0.3418	0.3417
b-loc	0.0007	0.0007	0.0007
b-misc	0.0021	0.0021	0.0021
b-org	0.0004	0.0004	0.0004
40	precision: 0.999171837116919	recall: 0.9991338800690209	f1-score: 0.9991367391723373
40	precision	recall	f1-score
i-org	0.3057	0.3057	0.3057
o	0.9818	0.9818	0.9818
i-misc	0.1800	0.1799	0.1799
i-per	0.2916	0.2916	0.2916
i-loc	0.3417	0.3417	0.3417
b-loc	0.0007	0.0007	0.0007
b-misc	0.0021	0.0020	0.0020
b-org	0.0004	0.0004	0.0004
final:	precision	recall	f1-score
i-org	0.2882	0.2865	0.2867
o	0.9739	0.9777	0.9749
i-misc	0.1679	0.1674	0.1674
i-per	0.2782	0.2774	0.2773
i-loc	0.3278	0.3278	0.3271
b-loc	0.0006	0.0006	0.0006
b-misc	0.0016	0.0016	0.0016
b-org	0.0004	0.0004	0.0004
precision: 0.998569699149645 recall: 0.999301346628295 f1: 0.985892591238081
		precision	recall	f1-score
i-org	0.2089	0.2026	0.2010
o	0.9408	0.9562	0.9458
i-misc	0.1557	0.1503	0.1498
i-per	0.2545	0.2346	0.2389
i-loc	0.3339	0.3228	0.3240
b-loc	0.0000	0.0000	0.0000
b-misc	0.0003	0.0003	0.0003
b-org	0.0000	0.0000	0.0000
precious 0.943999203011051 recall 0.9368414857459434 f1 score 0.9598264130621054
